trade_date,open0,high0,low0,close0,vol0,open1,high1,close1,low1,vol1,open2,high2,close2,low2,vol
20180611,93.8401,96.0518,93.8401,94.9986,71394.13,3057.34,3063.61,3052.78,3037.91,1085637.88,10191.31,10242.76,10175.35,10141.27,131225344
20180612,94.9986,95.6306,93.5242,95.104,55634.81,3053.03,3081.45,3079.8,3034.1,1132751,10187.31,10323,10315.28,10124.98,142568224
20180613,94.9986,95.104,93.2082,93.2082,52072.52,3071.46,3071.46,3049.8,3044.12,1196078.88,10280.08,10288,10161.65,10161.39,142851632
20180614,93.2082,94.1561,92.155,92.3656,51242.69,3038.07,3066.05,3044.16,3032.41,1154694.88,10124.76,10213.79,10084.18,10054.37,130720920
20180615,92.2603,93.4188,85.7305,87.4156,148328.37,3037.45,3048.8,3021.9,3008.73,1445325.75,10077.43,10108.53,9943.13,9902.63,159964432
20180619,85.6252,85.9411,78.674,78.674,131663.52,2982.65,2984.97,2907.82,2871.35,2305500.75,9775.97,9815.01,9414.76,9336.7,214212672
20180620,76.357,80.8858,76.357,79.7272,94714.21,2889.98,2925.56,2915.73,2872.16,1443014.25,9367.74,9549.53,9501.34,9310.19,169974560
20180621,79.8326,81.623,78.1474,78.4634,127503.67,2912,2940.59,2875.81,2872.62,1543783.38,9493.5,9573.49,9316.68,9313.09,173337584
20180622,78.4634,80.3592,78.4634,79.4113,72816.68,2855.58,2891.97,2889.76,2837.14,1261431.25,9247.02,9416.09,9409.95,9172.3,152509536
20180625,79.6219,80.4645,78.2528,78.3581,128090.3,2903.45,2908.62,2859.34,2857.87,1219176.88,9472.91,9494.44,9324.83,9320.66,150021424
20180626,77.8315,80.9911,77.0942,80.7804,122624.06,2829.99,2850.24,2844.51,2803.79,1259184.62,9201,9364.51,9339.37,9175.39,163332512
20180627,79.9379,80.7804,78.5687,79.6219,84449,2842.4,2854.26,2813.18,2798.8,1294208.38,9338.01,9378.08,9168.66,9139.82,158240672
20180628,79.6219,80.4645,77.5155,77.8315,101110.13,2799.9,2825.99,2786.9,2782.45,1183579.12,9130.52,9230.89,9071.73,9065.2,152800208
20180629,78.4634,82.8868,78.0421,82.2549,141197,2789.81,2848.37,2847.42,2782.38,1256716.88,9100.6,9381.02,9379.47,9078.24,180437088
20180702,81.939,82.7815,80.2538,80.8858,87734.4,2841.58,2845.68,2775.56,2756.82,1370350.38,9369.24,9393.1,9179.8,9107.55,180839648
20180703,81.2017,88.5741,80.5698,88.2582,237974.44,2774.57,2786.89,2786.89,2722.45,1424984.62,9184.31,9233.02,9221.54,8945.42,193249696
20180704,87.205,87.8369,85.0986,85.9411,157465.63,2776.63,2793.18,2759.13,2754.16,1232621.75,9182.96,9200.27,9035.49,9008.09,170891456
20180705,85.9411,86.2571,81.7283,82.8868,125602.94,2755.34,2777.52,2733.88,2727.94,1292261.12,9036.12,9096.54,8862.18,8844.67,163346224
20180706,83.6241,87.9422,82.1496,86.0464,167462.75,2731.35,2768.87,2747.23,2691.02,1362943.75,8873.9,9035.45,8911.34,8736.36,186062992
20180709,86.1518,87.4156,85.4145,86.7837,101360.99,2752.45,2815.79,2815.11,2752.45,1215493.12,8954.31,9160.62,9160.62,8954.31,161689088
20180710,86.889,86.889,84.0454,85.2039,124610.16,2819.71,2828.49,2827.63,2800.63,1170627.5,9176.29,9213.87,9205.43,9123.22,163300560
20180711,84.0454,84.0454,78.7794,80.4645,147573.47,2780.7,2794.36,2777.77,2752.44,1268211.5,9024.72,9092.88,9023.82,8916.98,178766528
20180712,80.1485,82.5709,80.1485,82.1496,112806.24,2771.04,2844.19,2837.66,2771.04,1469802,9019.96,9312.37,9273.61,9019.96,211251552
20180713,82.2549,83.0975,81.623,82.0443,66916.64,2831.43,2835.46,2831.18,2818.85,1176893.5,9288.47,9344.65,9326.97,9270.2,186432416
20180716,82.1496,82.5709,80.2538,81.4124,123345.42,2827.08,2837.51,2814.04,2804.49,1077671.5,9322.97,9366.21,9317.36,9278.07,166706960
20180717,82.2549,82.4656,80.1485,81.4124,82133.18,2806.89,2806.92,2798.13,2774.76,1054092.25,9307.66,9307.66,9285.16,9175.66,159232336
20180718,82.2549,82.4656,80.2538,80.4645,102822.57,2801.78,2818.4,2787.26,2786.04,1209611.62,9293.2,9335.09,9195.24,9195.24,175256576
20180719,81.307,81.307,78.4634,78.99,82588.53,2791.02,2805.01,2772.55,2764.49,1144864.88,9214.9,9266.93,9148.78,9116.45,161620352
20180720,79.6219,80.6751,78.5687,80.2538,80199.55,2769.75,2837.86,2829.27,2753.84,1459076.88,9141.51,9277.95,9251.48,9055.86,169930480
20180723,80.2538,85.4145,79.7272,83.5188,222151.35,2815.2,2863.57,2859.54,2809.62,1733828,9188.47,9314.3,9314.3,9160.05,199809120
20180724,83.2028,86.3624,82.9922,85.7305,170834.53,2862.27,2911.46,2905.56,2862.27,2295783,9316.65,9491.24,9465.8,9313.17,244672640
20180725,85.4145,86.889,84.9932,85.4145,108904.91,2911.45,2912.31,2903.65,2894.04,1678002.12,9475.72,9514.94,9463.76,9436.99,213146944
20180726,85.3092,87.205,84.8879,86.0464,121246.51,2905.79,2915.3,2882.23,2875.7,1684282,9467.56,9488.39,9352.25,9331.45,229138672
20180727,86.3624,86.4677,85.2039,85.4145,96159.45,2879.69,2889.69,2873.59,2864.11,1463716.12,9344.75,9363.17,9295.93,9270.35,188934752
20180730,85.0986,86.2571,84.572,85.7305,88513.24,2871.94,2896.01,2869.05,2850.3,1516522.5,9289.36,9309.44,9181.94,9139.74,178357088
