trade_date,open0,high0,low0,close0,change0,pct_chg0,vol0,open1,high1,close1,low1,vol1,change1,pct_chg1,open2,high2,close2,low2,vol,change2,pct_chg2
20180123,551.9202,559.3171,547.1968,548.2662,-3.654,-0.6621,222122.7,3504.34,3547.22,3546.5,3504.34,2387059,45.14,1.29,11514.56,11564.95,11555.25,11493.74,174188768,42.17,0.37
20180124,547.1968,558.6933,536.3242,557.4456,9.1794,1.6743,401956.75,3553.48,3569.49,3559.47,3527.11,2529545,12.97,0.37,11548.21,11613.95,11607.57,11456.26,210735232,52.32,0.45
20180125,558.7824,558.7824,541.8496,543.1864,-14.2592,-2.558,357657.11,3555.17,3571.48,3548.31,3528.03,2434134.25,-11.16,-0.31,11588.38,11633.46,11552.56,11548.68,213762240,-55.01,-0.47
20180126,534.8091,547.9989,533.0267,536.5915,-6.5949,-1.2141,262839.43,3535.49,3574.9,3558.13,3534.2,2226983,9.82,0.28,11524.7,11605.13,11557.82,11512.94,175611744,5.26,0.05
20180129,540.2454,546.3947,527.5904,535.5221,-1.0694,-0.1993,274182.32,3563.64,3587.03,3523,3510.27,2360269.75,-35.13,-0.99,11547.68,11556.65,11352.72,11323.69,199666080,-205.1,-1.77
20180130,533.0267,541.8496,530.3531,535.6112,0.0891,0.0166,176133.17,3511.5,3523.05,3488.01,3484.66,1863699.75,-34.99,-0.99,11319.97,11370,11278.78,11260.31,157973248,-73.94,-0.65
20180131,531.1552,534.3635,486.5952,489.8035,-45.8077,-8.5524,563571.02,3470.51,3495.45,3480.83,3454.73,2072534,-7.18,-0.21,11210.06,11244.18,11159.68,11119.32,194794960,-119.1,-1.06
20180201,489.9818,496.3093,460.3939,467.0779,-22.7256,-4.6397,389184.12,3478.67,3495.09,3446.98,3424.42,2605047,-33.85,-0.97,11145.41,11171.36,10864.34,10836.35,224818672,-295.34,-2.65
20180202,468.3256,479.1091,457.453,470.108,3.0301,0.6487,277866.13,3419.22,3463.16,3462.08,3388.86,2081205.5,15.1,0.44,10794.13,10933.15,10925.16,10663.54,184626560,60.82,0.56
20180205,454.512,464.137,450.056,455.3141,-14.7939,-3.1469,224189.51,3411.67,3487.72,3487.5,3406.24,2176737.5,25.42,0.73,10761.08,10873.24,10836.25,10741.85,148705216,-88.91,-0.81
20180206,436.688,444.7088,412.6256,414.3189,-40.9952,-9.0037,496755.42,3418.01,3440.12,3370.65,3364.22,2805554.75,-116.85,-3.35,10603.53,10685.16,10377.61,10377.61,196877408,-458.64,-4.23
20180207,426.7066,429.5584,408.1696,417.4381,3.1192,0.7529,330064.07,3412.74,3425.54,3309.26,3304.01,2609397.25,-61.39,-1.82,10563.31,10599.54,10246.97,10173.66,185364912,-130.64,-1.26
20180208,418.864,447.3824,417.4381,436.9554,19.5173,4.6755,352028.01,3281.05,3307.16,3262.05,3225.71,2012625,-47.21,-1.43,10219.39,10411.2,10372.59,10219.21,154429792,125.62,1.23
20180209,419.0422,439.1834,414.1406,422.607,-14.3484,-3.2837,322401.14,3172.85,3180.11,3129.85,3062.74,2563891.75,-132.2,-4.05,10096.47,10172.78,10001.23,9868.83,193571344,-371.36,-3.58
20180212,434.9056,451.6602,429.3802,443.6394,21.0324,4.9768,333949.23,3128.37,3168.13,3154.13,3113.61,1533108.25,24.28,0.78,10059.86,10325.68,10291.88,10059.86,144996160,290.65,2.91
20180213,450.3234,452.0166,441.144,444.6197,0.9803,0.221,253405.08,3176.11,3219.22,3184.96,3176.11,1515276,30.83,0.98,10367.68,10486.81,10362.43,10350.17,142167344,70.55,0.69
20180214,445.6,449.2539,443.4611,445.1544,0.5347,0.1203,155970.01,3188.25,3203.5,3199.16,3171.38,1003228.25,14.2,0.45,10381.16,10433.09,10431.91,10319.15,100082440,69.48,0.67
20180222,451.6602,484.5454,446.7586,478.5744,33.42,7.5075,377485.73,3237.57,3269.92,3268.56,3234.12,1387304.5,69.4,2.17,10547.81,10667.8,10658.94,10526.98,136170480,227.03,2.18
20180223,476.792,480.0003,467.9691,475.0096,-3.5648,-0.7449,237221.37,3275.43,3294.13,3289.02,3258.49,1457903.62,20.46,0.63,10667.81,10700.11,10662.79,10578.79,140530848,3.85,0.04
20180226,479.4656,498.7155,479.4656,485.8822,10.8726,2.2889,413298.85,3307.3,3335.99,3329.57,3281.62,1885686,40.55,1.23,10731.31,10920.21,10895.56,10670.17,200183504,232.77,2.18
20180227,490.6056,500.587,485.9714,490.9621,5.0799,1.0455,315532.35,3328.67,3328.67,3292.07,3284.63,1742193.62,-37.5,-1.13,10898.29,10915.36,10807.53,10791.95,195932768,-88.03,-0.81
20180228,494.616,500.8544,487.6646,491.8533,0.8912,0.1815,292703.99,3264.06,3277.83,3259.41,3239.84,1510435.38,-32.66,-0.99,10705.81,10875.71,10828.73,10656.36,186638944,21.2,0.2
20180301,487.4864,510.212,485.704,505.9342,14.0809,2.8628,432371.5,3235.09,3280.15,3273.75,3228.58,1590983.25,14.34,0.44,10754.62,10943.13,10943.13,10732.93,190070320,114.4,1.06
20180302,500.8544,509.499,495.2398,495.2398,-10.6944,-2.1138,272667.26,3248.45,3269.94,3254.53,3242.27,1508610.62,-19.22,-0.59,10857.87,10947.39,10856.25,10840.01,184646816,-86.88,-0.79
20180305,506.0234,507.6275,495.5072,503.3498,8.11,1.6376,287937.07,3255.87,3269.4,3256.93,3236.72,1448359.88,2.4,0.07,10882.87,10913.03,10875.68,10813.47,159549536,19.43,0.18
20180306,505.9342,534.2744,503.3498,517.0742,13.7244,2.7266,544744.5,3266.49,3290.25,3289.64,3243.65,1953580.5,32.71,1,10909.28,11007.95,11007.95,10873.85,206525504,132.27,1.22
20180307,516.0048,521.2629,508.8752,513.5094,-3.5648,-0.6894,283720.43,3288.86,3308.41,3271.67,3264.76,1686650.25,-17.97,-0.55,10993.95,11031.48,10904.99,10897.58,179148336,-102.96,-0.94
20180308,514.4898,521.0846,504.3301,509.6773,-3.8321,-0.7463,272563.51,3268.35,3289.5,3288.41,3261.55,1498275.25,16.74,0.51,10902.35,11019.08,11019.08,10892.18,165203184,114.09,1.05
20180309,510.212,524.3821,505.6669,517.9654,8.2881,1.6261,348765.99,3291.43,3309.72,3307.17,3283.56,1684245.12,18.76,0.57,11040.37,11203.72,11194.91,11030.55,234555472,175.83,1.6
20180312,537.2154,555.2176,534.007,538.2848,20.3194,3.9229,548415.03,3319.21,3333.56,3326.7,3313.56,2065324.38,19.53,0.59,11266.32,11328.77,11326.27,11260.46,261773248,131.36,1.17
20180313,536.4133,553.9699,530.3531,543.632,5.3472,0.9934,478931.12,3324.12,3333.88,3310.24,3307.38,1771143.5,-16.46,-0.49,11311.04,11335.3,11241.41,11236.38,227848416,-84.86,-0.75
20180314,539.176,567.5162,536.0568,552.544,8.912,1.6393,592324.39,3298.67,3304.98,3291.38,3287.36,1574910.88,-18.86,-0.57,11198.77,11242.3,11139.63,11138.39,196067744,-101.78,-0.91
20180315,552.544,555.8414,534.1853,551.2072,-1.3368,-0.2419,438384.37,3277.51,3297.1,3291.11,3273.2,1485736,-0.27,-0.01,11100.53,11195.94,11163.65,11051.62,187573552,24.02,0.22
20180316,550.5834,564.6643,547.0186,548.088,-3.1192,-0.5659,364590.46,3290.21,3300.57,3269.88,3269.28,1412036.5,-21.23,-0.65,11166.43,11192.36,11051.12,11051.12,169598352,-112.53,-1.01
20180319,550.0486,566.9814,545.5035,561.9016,13.8136,2.5203,482839.44,3264.93,3280.57,3279.25,3251.05,1379549.75,9.37,0.29,11046.03,11120.75,11068.49,10994.68,165819440,17.37,0.16
20180320,554.1482,559.6736,544.345,548.8901,-13.0115,-2.3156,354322.44,3257.22,3292.57,3290.64,3252.43,1398810.75,11.39,0.35,10982.73,11082.03,11077.8,10951.99,177360080,9.31,0.08
20180321,549.603,553.3461,525.095,525.7189,-23.1712,-4.2215,447906.2,3299.73,3314.21,3280.95,3268.88,1683982.75,-9.69,-0.29,11100.91,11170.56,10980.55,10973.58,202472464,-97.25,-0.88
20180322,528.9272,532.492,522.1541,524.7386,-0.9803,-0.1865,289382.61,3281.27,3288.8,3263.48,3242.76,1504329.75,-17.47,-0.53,10988.83,11035.58,10877.25,10858.44,175778160,-103.3,-0.94
20180323,496.844,511.9944,475.277,483.2086,-41.53,-7.9144,584069.29,3172.77,3188.24,3152.76,3110.66,2755320.25,-110.72,-3.39,10511.16,10664.93,10439.99,10256.5,282412832,-437.26,-4.02
20180326,478.5744,509.6773,475.0096,508.8752,25.6666,5.3117,480779.93,3117.32,3134.28,3133.72,3091.46,1863663.5,-19.04,-0.6,10303.75,10564.38,10564.38,10217.22,195798896,124.39,1.19
20180327,515.7374,537.3045,515.7374,534.8982,26.023,5.1138,508254.87,3164.8,3172.78,3166.65,3143.57,1890733.88,32.93,1.05,10683.16,10799.37,10775.71,10675.5,222882752,211.33,2
20180328,524.7386,533.8288,522.7779,525.7189,-9.1793,-1.7161,276158.33,3130.57,3165.21,3122.29,3117.53,1635004.88,-44.36,-1.4,10633.7,10768.48,10630.69,10613.06,204801312,-145.02,-1.35
20180329,537.3936,540.0672,516.4504,526.6101,0.8912,0.1695,301652.53,3127.26,3174.51,3160.53,3098.25,1703123.88,38.24,1.23,10676.56,10778.8,10755.92,10564.29,192574656,125.23,1.18
20180330,531.8682,546.3947,531.8682,542.117,15.5069,2.9447,408132.27,3161.79,3177.72,3168.9,3152.89,1546466,8.37,0.27,10776.71,10883.05,10868.65,10766.53,209103152,112.73,1.05
20180402,552.544,554.3264,536.5024,541.2258,-0.8912,-0.1644,407378.37,3169.78,3192.34,3163.18,3159.99,1777277.75,-5.72,-0.18,10887.47,10950.22,10852.95,10835.71,238742944,-15.7,-0.14
